0	-9	11	279
0.0033	-13	15	284
0.0066	-6	7	279
0.0099	-13	-3	284
0.0132	-21	-6	277
0.0165	-19	-5	253
0.0198	-14	-12	247
0.0231	-18	-11	256
0.0264	-15	-1	258
0.0297	-6	5	258
0.033	-4	6	268
0.0363	-15	11	284
0.0396	-8	12	276
0.0429	-8	8	276
0.0462	-14	-3	282
0.0495	-21	-4	271
0.0528	-18	2	249
0.0561	-17	-11	247
0.0594	-18	-11	254
0.0627	-15	-2	255
0.066	-7	3	256
0.0693	-2	-1	265
0.0726	-9	2	278
0.0759	-15	13	278
0.0792	-6	8	272
0.0825	-12	0	283
0.0858	-22	-2	278
0.0891	-22	1	258
0.0924	-14	-7	247
0.0957	-16	-10	254
0.099	-19	-7	256
0.1023	-8	1	255
0.1056	0	2	259
0.1089	-12	10	280
0.1122	-12	14	280
0.1155	-7	11	277
0.1188	-9	-1	284
0.1221	-24	-4	281
0.1254	-22	-5	255
0.1287	-14	-11	245
0.132	-18	-10	257
0.1353	-17	-4	257
0.1386	-4	6	257
0.1419	-6	9	268
0.1452	-14	14	281
0.1485	-10	11	274
0.1518	-5	2	287
0.1551	-22	-7	266
0.1584	-19	-6	245
0.1617	-13	-13	247
0.165	-17	-4	256
0.1683	-10	2	256
0.1716	-5	9	259
0.1749	-9	8	278
0.1782	-15	13	282
0.1815	-5	9	276
0.1848	-5	5	279
0.1881	-19	-8	281
0.1914	-25	-6	269
0.1947	-17	-1	246
0.198	-13	-6	244
0.2013	-19	-9	256
0.2046	-19	-6	255
0.2079	-4	4	256
0.2112	-4	5	264
0.2145	-13	4	280
0.2178	-14	11	288
0.2211	-6	5	278
0.2244	-11	1	284
0.2277	-20	-8	279
0.231	-24	0	264
0.2343	-15	0	246
0.2376	-15	-9	254
0.2409	-14	-7	257
0.2442	-8	-2	259
0.2475	-5	8	260
0.2508	-3	0	277
0.2541	-15	13	282
0.2574	-9	11	272
0.2607	-10	7	275
0.264	-19	-4	281
0.2673	-25	-3	270
0.2706	-17	-4	242
0.2739	-12	-12	244
0.2772	-19	-9	255
0.2805	-12	-8	256
0.2838	-7	6	257
0.2871	-4	7	265
0.2904	-14	12	284
0.2937	-11	16	282
0.297	-3	10	279
0.3003	-13	1	284
0.3036	-21	-7	275
0.3069	-24	-5	259
0.3102	-16	-7	247
0.3135	-20	-8	253
0.3168	-16	-9	255
0.3201	-2	4	258
0.3234	-3	9	263
0.3267	-13	5	280
0.33	-15	10	285
0.3333	-8	11	272
0.3366	-9	-3	278
0.3399	-18	-5	278
0.3432	-23	1	257
0.3465	-12	-8	242
0.3498	-14	-9	247
0.3531	-20	-11	256
0.3564	-8	0	252
0.3597	-3	6	257
0.363	-9	6	283
0.3663	-15	11	286
0.3696	-7	12	285
0.3729	-4	6	286
0.3762	-19	-6	282
0.3795	-23	-2	268
0.3828	-18	-2	241
0.3861	-11	-9	241
0.3894	-16	-10	256
0.3927	-19	-9	256
0.396	-4	4	255
0.3993	0	5	268
0.4026	-11	14	284
0.4059	-12	17	282
0.4092	-10	12	277
0.4125	-14	-7	279
0.4158	-26	-3	273
0.4191	-14	-3	252
0.4224	-13	-14	239
0.4257	-16	-12	250
0.429	-16	-10	252
0.4323	-9	3	255
0.4356	-2	5	261
0.4389	-9	10	282
0.4422	-11	18	284
0.4455	-2	9	281
0.4488	-9	5	284
0.4521	-22	-9	280
0.4554	-23	-2	259
0.4587	-17	-10	241
0.462	-14	-12	249
0.4653	-16	-11	255
0.4686	-11	5	252
0.4719	-3	6	258
0.4752	-6	8	279
0.4785	-14	14	283
0.4818	-11	15	276
0.4851	-3	3	279
0.4884	-19	-5	282
0.4917	-29	-1	270
0.495	-15	-10	249
0.4983	-14	-12	251
0.5016	-20	-7	256
0.5049	-19	-3	252
0.5082	-7	7	253
0.5115	-4	6	274
0.5148	-13	10	286
0.5181	-8	8	280
0.5214	-3	3	282
0.5247	-18	-6	282
0.528	-27	-5	271
0.5313	-19	0	251
0.5346	-11	-12	248
0.5379	-14	-9	253
0.5412	-16	-1	257
0.5445	-4	9	259
0.5478	-7	8	269
0.5511	-11	6	285
0.5544	-4	11	278
0.5577	-10	5	278
0.561	-15	-7	278
0.5643	-22	0	261
0.5676	-22	0	249
0.5709	-11	-13	248
0.5742	-17	-7	255
0.5775	-13	-1	258
0.5808	-8	5	257
0.5841	-8	5	270
0.5874	-10	6	278
0.5907	-12	10	277
0.594	-5	6	274
0.5973	-13	-1	283
0.6006	-23	-8	276
0.6039	-25	2	256
0.6072	-14	-10	245
0.6105	-15	-12	251
0.6138	-15	-4	256
0.6171	-11	1	259
0.6204	-7	5	269
0.6237	-13	9	286
0.627	-12	14	284
0.6303	-6	10	278
0.6336	-12	4	284
0.6369	-23	-1	272
0.6402	-24	2	251
0.6435	-12	-15	241
0.6468	-18	-7	256
0.6501	-14	-10	254
0.6534	-7	0	255
0.6567	0	3	262
0.66	-14	8	282
0.6633	-15	15	281
0.6666	-5	10	280
0.6699	-8	5	286
0.6732	-25	-5	283
0.6765	-20	-3	255
0.6798	-15	-6	243
0.6831	-17	-11	256
0.6864	-18	-8	256
0.6897	-7	3	258
0.693	-3	6	263
0.6963	-9	8	281
0.6996	-14	15	282
0.7029	-7	14	271
0.7062	-9	6	279
0.7095	-20	-3	280
0.7128	-26	-2	266
0.7161	-18	-7	247
0.7194	-15	-13	247
0.7227	-19	-5	254
0.726	-14	-3	255
0.7293	-4	6	255
0.7326	-3	5	270
0.7359	-8	10	283
0.7392	-14	13	280
0.7425	-10	5	281
0.7458	-12	-1	283
0.7491	-21	-3	264
0.7524	-17	0	251
0.7557	-14	-8	252
0.759	-18	-8	255
0.7623	-13	-7	258
0.7656	-10	4	256
0.7689	-4	7	274
0.7722	-14	5	284
0.7755	-10	15	283
0.7788	-4	8	275
0.7821	-16	-4	269
0.7854	-24	-1	273
0.7887	-23	2	249
0.792	-17	-10	243
0.7953	-27	-1	266
0.7986	-19	-3	245
0.8019	-14	-11	247
0.8052	-18	-12	255
0.8085	-16	-5	256
0.8118	-4	7	255
0.8151	-4	9	269
0.8184	-13	13	282
0.8217	-14	19	282
0.825	-6	12	278
0.8283	-11	2	287
0.8316	-25	-8	273
0.8349	-26	0	257
0.8382	-15	-14	245
0.8415	-15	-14	253
0.8448	-15	-7	255
0.8481	-10	1	255
0.8514	-5	9	261
0.8547	-13	8	284
0.858	-11	13	283
0.8613	-7	9	279
0.8646	-11	1	282
0.8679	-24	-8	278
0.8712	-25	0	252
0.8745	-16	-5	241
0.8778	-17	-5	250
0.8811	-14	-4	254
0.8844	-9	6	253
0.8877	-3	10	259
0.891	-9	3	281
0.8943	-14	9	287
0.8976	-7	10	283
0.9009	-10	7	279
0.9042	-13	-7	279
0.9075	-26	-7	273
0.9108	-19	1	247
0.9141	-14	-8	241
0.9174	-15	-9	256
0.9207	-17	4	256
0.924	-6	1	254
0.9273	-3	1	282
0.9306	-10	4	284
0.9339	-11	11	283
0.9372	-8	10	278
0.9405	-12	0	284
0.9438	-22	-3	279
0.9471	-26	0	256
0.9504	-16	0	243
0.9537	-14	-11	253
0.957	-16	-11	260
0.9603	-12	-1	257
0.9636	-2	5	258
0.9669	-8	7	275
0.9702	-15	15	281
